Price	Number_of_Hours_Late	Number_Cancelled_per_Day_per_500	Bag_Delivery_Time	#_Lost_Bags
1572.4	0.45			
1707.39	0.37			
1745.14	0.34			
1273.99	0.37			
1968.6	0.34			
1610.55	0.41			
1545.54	0.38			
1579.03	0.39			
1640.06	0.38			
1212.17	0.44			
1833.68	0.42			
944.9	0.4			
1830.91	0.47			
1666.99	0.37			
1537.57	0.42			
1284.21	0.39			
1712.94	0.37			
2053.22	0.38			
1435.63	0.36			
1103.05	0.42			
1510.77	0.47			
1643.86	0.42			
1808.47	0.44			
2040.14	0.39			
1737.01	0.4			
1758.95	0.39			
1283.58	0.4			
1903.78	0.42			
1491.1	0.43			
1902.19	0.41			
1438.72	0.36			
1475.74	0.41			
1847.67	0.34			
1702.49	0.42			
1530.77	0.42			
1583.31	0.47			
1724.21	0.39			
1019.49	0.43			
1374.31	0.38			
1794.9	0.4			
1443.74	0.36			
1638.43	0.38			
1664.06	0.44			
1730.86	0.36			
1604.58	0.37			
1640.08	0.41			
1384.12	0.43			
1336.89	0.36			
1803.07	0.42			
1538.74	0.37			
2068.62	0.41			
1515.46	0.34			
1500.02	0.39			
1377.52	0.36			
1497.1	0.39			
1686.36	0.36			
1732.66	0.39			
1594.99	0.4			
1693.01	0.39			
1706.75	0.37			
1535.35	0.39			
1442.71	0.43			
1351.59	0.38			
1660.26	0.34			
1794.46	0.36			
2053.84	0.4			
1547.04	0.46			
1375.84	0.44			
2052.91	0.42			
1408.7	0.42			
1617.74	0.36			
1374.54	0.42			
1414.12	0.39			
1942.42	0.43			
1500.96	0.41			
1634.45	0.39			
1580.57	0.4			
1538.39	0.45			
1696.74	0.4			
1449	0.37			
1469.06	0.42			
1319.95	0.45			
1785.66	0.41			
1700.31	0.41			
1964.91	0.39			
1080.66	0.38			
1353.06	0.41			
1133.95	0.41			
1624.35	0.43			
1555.12	0.36			
1217.82	0.4			
1406.9	0.4			
1605.51	0.39			
1554.92	0.41			
1613.36	0.42			
1546.39	0.39			
1908.23	0.38			
1411.91	0.42			
1817.54	0.39			
1851.89	0.36			
1625.58	0.4			
1581.24	0.39			
1317.58	0.36			
1352.35	0.36			
1361.35	0.41			
1650.71	0.4			
1935.54	0.38			
1834.3	0.34			
1417.11	0.4			
1455.69	0.37			
1227.89	0.43			
1292.18	0.41			
1981.12	0.4			
1601.76	0.48			
2378.04	0.38			
1470.15	0.43			
1646.02	0.41			
889.5	0.39			
1667.35	0.42			
1621.26	0.37			
1498.92	0.42			
1640.7	0.36			
1409.67	0.41			
1323.19	0.36			
1700.01	0.42			
1769.94	0.41			
1160.58	0.34			
2023.29	0.38			
1536.04	0.36			
1832.61	0.4			
2250.05	0.38			
1885.98	0.42			
1732.38	0.41			
1386.91	0.45			
1742.17	0.4			
1689.05	0.46			
1850.47	0.36			
1280.61	0.41			
1770.96	0.41			
1793.87	0.44			
1874.23	0.38			
1211.05	0.4			
1390.06	0.38			
1936.02	0.41			
1718.48	0.41			
1563.93	0.4			
967.9	0.38			
1933.21	0.45			
1881.66	0.46			
1575.09	0.42			
2062.96	0.38			
1035.49	0.47			
1512.74	0.42			
1226.78	0.42			
1386.76	0.41			
1545.52	0.38			
1786.7	0.43			
1897.22	0.39			
1430.75	0.39			
1434.02	0.38			
1579.09	0.39			
1551.39	0.49			
1212.1	0.33			
1642.59	0.39			
2013.54	0.42			
1500.87	0.3			
1444.85	0.39			
1547.54	0.44			
1646.5	0.42			
1128.1	0.32			
2002.88	0.38			
1944.75	0.47			
1259.84	0.37			
1654.25	0.39			
1477.83	0.44			
1843.38	0.43			
1820.69	0.39			
1670.06	0.45			
1768.87	0.38			
2064.45	0.39			
2109.35	0.39			
1551.78	0.42			
1437.43	0.37			
1536.57	0.39			
1432.85	0.4			
1565.18	0.35			
1552.84	0.37			
1596.1	0.38			
1749.78	0.4			
1327.03	0.39			
1305.66	0.4			
1666.56	0.4			
1620.02	0.42			
1542.55	0.41			
1709.82	0.39			
1672.51	0.38			
1683.99	0.41			
1099.94	0.4			
1348.73	0.41			
1605.26	0.38			
1612.71	0.38			
1513.41	0.41			
1811.45	0.41			
1436.18	0.41			
1832.21	0.36			
1601.5	0.37			
1497	0.36			
782.43	0.44			
1256.73	0.44			
1415.38	0.38			
1540.22	0.42			
1959.05	0.4			
1641.92	0.33			
1670.31	0.34			
2038.14	0.43			
1420.5	0.37			
2300.74	0.45			
1745.33	0.48			
1196.8	0.38			
1846.51	0.39			
2237.44	0.39			
1628.43	0.47			
1676.95	0.42			
1534.73	0.36			
1835.42	0.43			
1331.94	0.43			
2015.81	0.36			
1510.07	0.44			
1467.78	0.43			
2311.43	0.34			
1371.77	0.38			
1376.62	0.39			
1339.41	0.48			
1610.18	0.44			
1320.19	0.39			
1745.09	0.39			
838.26	0.36			
1461.38	0.37			
1414.38	0.4			
1189.83	0.37			
1868.36	0.46			
1885.53	0.41			
1583.3	0.4			
1370.56	0.46			
1263.34	0.36			
1962.97	0.43			
1942.78	0.39			
1573.67	0.4			
2185.58	0.37			
1589.88	0.41			
1960.74	0.45			
1937.04	0.44			
2159.76	0.45			
1836.69	0.45			
1886.23	0.44			
1853.28	0.41			
1561.88	0.4			
1950.95	0.42			
1528.93	0.41			
1743.1	0.42			
2109.73	0.39			
2235.44	0.39			
1790.66	0.43			
1707.96	0.44			
1204.35	0.47			
1678.77	0.4			
1687.26	0.5			
2042.89	0.42			
1427.89	0.42			
1921.71	0.44			
1247.65	0.45			
1740.01	0.38			
1388.92	0.43			
1875	0.4			
1145.54	0.41			
1773.13	0.41			
1762.37	0.37			
1617.06	0.42			
2227.96	0.45			
1845.06	0.41			
1279.04	0.33			
1821.7	0.39			
1365.1	0.41			
1822.3	0.41			
1314.14	0.4			
1831.34	0.39			
1373.51	0.43			
1959.18	0.43			
1624.5	0.41			
1644.23	0.46			
1907.7	0.36			
1911.46	0.45			
1927.58	0.43			
2056.5	0.41			
1509.6	0.42			
2057.75	0.38			
1534.94	0.36			
1287.26	0.42			
1621.46	0.39			
2056.64	0.42			
1732.21	0.42			
1425.58	0.39			
1464.92	0.4			
1556.09	0.45			
1655.21	0.5			
1085.03	0.37			
1369.26	0.41			
1862.44	0.47			
2008.72	0.46			
1925.11	0.37			
1978.38	0.38			
1584.93	0.38			
1576.83	0.45			
1215.64	0.41			
2126.46	0.41			
1227.49	0.5			
1680.68	0.42			
1341.43	0.4			
1473	0.37			
1414.64	0.44			
1164.55	0.38			
1787.08	0.41			
1600.37	0.39			
1691.49	0.42			
1822.72	0.46			
1752.02	0.38			
1635.28	0.41			
1593.5	0.37			
1987.58	0.42			
1700.43	0.38			
1839.06	0.44			
984.41	0.36			
1792.27	0.45			
2204.74	0.45			
1665.84	0.43			
1737.69	0.47			
1615.56	0.38			
1547	0.38			
1927.59	0.36			
1777.97	0.42			
1861.69	0.47			
1359.02	0.42			
1486	0.42			
1577.76	0.43			
1882.54	0.47			
1617.85	0.46			
1276.39	0.44			
1730.09	0.41			
2267.14	0.41			
1646.69	0.34			
1848.22	0.42			
1872.05	0.45			
1969.14	0.4			
1980.9	0.43			
1713.39	0.44			
2027.71	0.35			
1443.85	0.41			
1902.69	0.41			
1549.47	0.43			
2017.24	0.4			
1484.74	0.39			
1936.65	0.45			
1542.98	0.41			
1268.87	0.32			
1593.54	0.41			
1661.36	0.37			
1801.86	0.38			
2408.07	0.37			
1970.65	0.48			
1261.21	0.43			
1484.34	0.43			
1528.02	0.4			
1397.23	0.42			
1169.66	0.39			
1689.7	0.38			
1352.95	0.48			
1736.03	0.47			
1313.18	0.43			
1550.97	0.47			
1841.3	0.39			
1690.66	0.42			
1705.28	0.36			
1501.08	0.44			
1585.94	0.41			
1562.45	0.41			
1470.91	0.51			
1823.19	0.41			
1550.87	0.37			
1578.3	0.43			
1826.63	0.46			
1671.2	0.39			
1741.42	0.39			
1599.58	0.53			
1998.78	0.36			
1421.94	0.45			
1824.54	0.46			
1491.82	0.35			
1672.64	0.42			
2004.59	0.41			
1506.43	0.42			
1460.08	0.46			
1683.24	0.44			
1446.08	0.42			
1989.57	0.43			
1356.46	0.35			
1351.5	0.38			
1399.67	0.5			
1399.36	0.42			
1509.23	0.47			
1731.52	0.41			
1398.14	0.4			
1464.9	0.44			
1441.07	0.42			
1760.66	0.39			
1871.86	0.38			
1299.42	0.44			
1599.78	0.43			
1782.93	0.38			
1594.54	0.42			
1400.58	0.4			
1264.7	0.4			
1722.94	0.39			
1858.03	0.4			
1196.18	0.33			
2720.83	0.4			
1560.37	0.5			
1368.54	0.45			
1561.54	0.44			
1546	0.36			
1864.71	0.42			
1306.19	0.35			
1509.92	0.4			
1843.46	0.4			
2344.74	0.42			
1590.89	0.4			
1598.74	0.36			
2068.05	0.45			
1324.64	0.48			
1622.58	0.42			
1647.3	0.42			
1764.82	0.36			
1562.39	0.42			
1659.94	0.43			
1696.83	0.45			
1716.36	0.43			
1577.01	0.39			
1887.94	0.38			
1921.36	0.38			
1462.62	0.42			
1988.54	0.4			
1381.6	0.4			
1728.07	0.44			
1663.88	0.43			
1624.2	0.41			
1750.5	0.37			
1590.78	0.38			
1125.79	0.38			
1721.04	0.37			
1850.31	0.45			
1836.1	0.43			
1712.71	0.49			
1426.62	0.36			
2067.54	0.39			
1688.71	0.43			
864.24	0.42			
1658.25	0.44			
1397.38	0.35			
1733.55	0.48			
1409.35	0.4			
1885.44	0.45			
1095.33	0.41			
1836.44	0.41			
1352.92	0.41			
1316.52	0.4			
1218.61	0.47			
1326.34	0.39			
1615.7	0.37			
1597.7	0.43			
2024.73	0.36			
1833.14	0.38			
1705.84	0.41			
1543.83	0.43			
1268.12	0.4			
1326.94	0.49			
1544.85	0.37			
1403.58	0.4			
1874.92	0.4			
1717.04	0.41			
1951.06	0.44			
1394.97	0.44			
1646.39	0.49			
1669.37	0.49			
2199.73	0.4			
1022.96	0.47			
1531.89	0.48			
1964.11	0.39			
1825.85	0.41			
1621.71	0.39			
1586.19	0.37			
1080.19	0.33			
1488.33	0.46			
1002.79	0.35			
1905.87	0.38			
1867.44	0.41			
1246.84	0.4			
1664.43	0.43			
1800.77	0.38			
1713.9	0.49			
1441.63	0.41			
1461.58	0.36			
1700.2	0.44			
1617.18	0.39			
1548.02	0.41			
1305.9	0.36			
1102.26	0.39			
1421.78	0.44			
1455.95	0.4			
1779.08	0.43			
1480.28	0.4			
1043.63	0.47			
1593.14	0.4			
1727.2	0.38			
1524.98	0.4			
1404.7	0.42			
1585.13	0.39			
1847.9	0.41			
1751.03	0.39			
1837.39	0.46			
1756.66	0.42			
1551.4	0.39			
1845.35	0.41			
1780.38	0.43			
1964.46	0.44			
1392.75	0.44			
1492.78	0.37			
1360.26	0.4			
1296.69	0.45			
2048.18	0.45			
1758.93	0.4			
1600.49	0.41			
1816.3	0.39			
1613.46	0.43			
1794.23	0.4			
1634.2	0.42			
2071.52	0.43			
1209.86	0.41			
1921.18	0.43			
1302.42	0.42			
1601.13	0.48			
1427.71	0.41			
1441.46	0.41			
1528.9	0.46			
1593.95	0.41			
1683.33	0.45			
1012.28	0.44			
1577.6	0.41			
1710.11	0.38			
1800.31	0.33			
1825.23	0.44			
1406.04	0.4			
1700.29	0.42			
1528.46	0.45			
1355.47	0.43			
1682.38	0.42			
1250.51	0.38			
1456.99	0.44			
2097.62	0.38			
1812.29	0.43			
2269.56	0.39			
1418.72	0.42			
1271.44	0.44			
1440.57	0.37			
1332.13	0.41			
1292.48	0.43			
1667.45	0.4			
1875.02	0.41			
1766.42	0.37			
1464.03	0.49			
1742.45	0.37			
1885.89	0.44			
1402.29	0.37			
1370.01	0.39			
1750.96	0.36			
1191.51	0.47			
1468.58	0.45			
1643.51	0.44			
1804.5	0.4			
1962.01	0.41			
1504.11	0.35			
1221.98	0.38			
2072.02	0.43			
1607.81	0.43			
1909.5	0.4			
1486.22	0.41			
2069.4	0.45			
1139.64	0.48			
2038.57	0.41			
1719.98	0.41			
1281.96	0.41			
1347.58	0.43			
1348.23	0.4			
1630.31	0.43			
1781.32	0.51			
1822.62	0.38			
1873.92	0.47			
2253.82	0.42			
1859.13	0.39			
1754.83	0.42			
1492.93	0.39			
1677.61	0.4			
1682.62	0.42			
1507.98	0.42			
1832.47	0.38			
1136.32	0.39			
1827.02	0.42			
1532.87	0.44			
1627.72	0.43			
1803.14	0.4			
1356.46	0.38			
1914.53	0.46			
1898.06	0.39			
1698.09	0.39			
1328.25	0.42			
1072.17	0.47			
1516.02	0.49			
1655.61	0.38			
1305.34	0.35			
1820.1	0.41			
1626.61	0.41			
1425.96	0.4			
1645.97	0.42			
1328.3	0.41			
1357.82	0.38			
1401.24	0.41			
1856.36	0.4			
1241.06	0.36			
1871.79	0.39			
1866.01	0.37			
1318.14	0.4			
1510.82	0.38			
1763.16	0.42			
1353.87	0.43			
1575.06	0.4			
1732.98	0.35			
1549.56	0.39			
1342.74	0.41			
1368.08	0.43			
1726.83	0.46			
1478.17	0.45			
1703.9	0.4			
1945.15	0.45			
1878.58	0.47			
1784.16	0.44			
1217.75	0.47			
1830.52	0.39			
1445.04	0.37			
2010.79	0.37			
1460.05	0.39			
1989.65	0.39			
1046.94	0.39			
1824.95	0.45			
1780.1	0.41			
1755.42	0.45			
1667.44	0.48			
2063.38	0.43			
1324.7	0.45			
1783	0.42			
1873.13	0.38			
1643.55	0.46			
1725.32	0.36			
1892.18	0.49			
1678.46	0.39			
1466.14	0.38			
1803.69	0.41			
1516.08	0.45			
1295.34	0.41			
1971.33	0.37			
989.38	0.43			
1343.03	0.4			
2262.4	0.41			
1968.29	0.46			
1121.15	0.4			
1546.16	0.36			
1272.89	0.41			
1113.5	0.43			
1495.84	0.38			
1379.3	0.41			
1573.05	0.43			
1368.53	0.41			
1180.34	0.36			
1658.24	0.38			
1565.29	0.42			
1679.39	0.37			
1765.78	0.42			
1466.71	0.39			
2004.41	0.42			
1634.16	0.38			
1870.82	0.46			
1416.22	0.44			
2117.28	0.44			
1529.28	0.38			
1982.97	0.4			
1341	0.44			
1731.62	0.43			
1937.39	0.46			
1301.74	0.48			
1824.18	0.39			
1759.02	0.39			
1931.57	0.45			
1644.39	0.4			
1736.13	0.47			
1615.4	0.41			
2027.28	0.37			
1636.26	0.38			
2008.06	0.46			
1118.7	0.41			
2265.73	0.45			
1761.6	0.5			
1288.72	0.41			
1708.74	0.4			
1616.88	0.38			
1834.64	0.43			
1529.16	0.41			
1545.71	0.44			
1839.58	0.37			
1657.82	0.48			
1623.28	0.41			
1793.84	0.39			
1340.47	0.38			
2091.3	0.43			
1644.03	0.4			
	0.42			
	0.39			
	0.37			
	0.4			
	0.43			
	0.44			
	0.42			
	0.42			
	0.41			
	0.4			
	0.43			
	0.44			
	0.4			
	0.42			
	0.44			
	0.45			
	0.45			
	0.42			
	0.4			
	0.4			
	0.44			
	0.4			
	0.39			
	0.42			
	0.45			
	0.42			
	0.39			
	0.46			
	0.43			
	0.4			
	0.39			
	0.42			
	0.45			
	0.39			
	0.44			
	0.42			
	0.42			
	0.33			
	0.41			
	0.41			
	0.43			
	0.42			
	0.45			
	0.37			
	0.36			
	0.42			
	0.42			
	0.38			
	0.38			
	0.4			
	0.43			
	0.39			
	0.42			
	0.37			
	0.46			
	0.44			
	0.42			
	0.39			
	0.47			
	0.39			
	0.46			
	0.39			
	0.37			
	0.43			
	0.44			
	0.38			
	0.42			
	0.48			
	0.41			
	0.44			
	0.41			
	0.43			
	0.41			
	0.51			
	0.42			
	0.41			
	0.37			
	0.39			
	0.38			
	0.39			
	0.38			
	0.4			
	0.51			
	0.42			
	0.46			
	0.42			
	0.5			
	0.35			
	0.39			
	0.37			
	0.41			
	0.41			
	0.41			
	0.43			
	0.43			
	0.42			
	0.37			
	0.36			
	0.42			
	0.37			
	0.47			
	0.44			
	0.4			
	0.45			
	0.41			
	0.35			
	0.41			
	0.38			
	0.42			
	0.44			
	0.5			
	0.39			
	0.44			
	0.46			
	0.43			
	0.46			
	0.39			
	0.39			
	0.39			
	0.45			
	0.51			
	0.41			
	0.42			
	0.43			
	0.48			
	0.39			
	0.39			
	0.42			
	0.46			
	0.44			
	0.36			
	0.49			
	0.46			
	0.45			
	0.39			
	0.4			
	0.38			
	0.39			
	0.37			
	0.44			
	0.49			
	0.39			
	0.45			
	0.44			
	0.45			
	0.36			
	0.41			
	0.48			
	0.41			
	0.39			
	0.4			
	0.39			
	0.42			
	0.4			
	0.42			
	0.42			
	0.44			
	0.42			
	0.43			
	0.41			
	0.42			
	0.47			
	0.46			
	0.46			
	0.39			
	0.39			
	0.44			
	0.43			
	0.4			
	0.4			
	0.38			
	0.39			
	0.44			
	0.43			
	0.36			
	0.4			
	0.39			
	0.35			
	0.43			
	0.4			
	0.45			
	0.44			
	0.43			
	0.39			
	0.37			
	0.43			
	0.36			
	0.4			
	0.4			
	0.37			
	0.41			
	0.39			
	0.39			
	0.37			
	0.39			
	0.44			
	0.41			
	0.43			
	0.44			
	0.39			
	0.36			
	0.39			
	0.41			
	0.43			
	0.39			
	0.49			
	0.41			
	0.37			
	0.42			
	0.39			
	0.37			
	0.38			
	0.49			
	0.42			
	0.44			
	0.44			
	0.43			
	0.4			
	0.41			
	0.38			
	0.4			
	0.35			
	0.41			
	0.43			
	0.44			
	0.42			
	0.41			
	0.45			
	0.47			
	0.44			
	0.4			
	0.48			
	0.44			
	0.46			
	0.43			
	0.37			
	0.45			
	0.37			
	0.45			
	0.39			
	0.39			
	0.39			
	0.42			
	0.44			
	0.39			
	0.42			
	0.39			
	0.4			
	0.4			
	0.39			
	0.44			
	0.43			
	0.42			
	0.37			
	0.36			
	0.43			
	0.4			
	0.44			
	0.4			
	0.45			
	0.42			
	0.44			
	0.41			
	0.46			
	0.52			
	0.41			
	0.42			
	0.35			
	0.41			
	0.41			
	0.42			
	0.38			
	0.39			
	0.36			
	0.36			
	0.39			
	0.41			
	0.4			
	0.41			
	0.45			
	0.41			
	0.44			
	0.37			
	0.4			
	0.44			
	0.41			
	0.47			
	0.51			
	0.36			
	0.36			
	0.41			
	0.38			
	0.4			
	0.42			
	0.46			
	0.38			
	0.42			
	0.4			
	0.42			
	0.42			
	0.43			
	0.4			
	0.36			
	0.49			
	0.38			
	0.46			
	0.47			
	0.43			
	0.44			
	0.43			
	0.37			
	0.43			
	0.42			
	0.4			
	0.43			
	0.42			
	0.4			
	0.38			
	0.44			
	0.42			
	0.49			
	0.41			
	0.39			
	0.43			
	0.44			
	0.47			
	0.43			
	0.4			
	0.39			
	0.42			
	0.43			
	0.4			
	0.44			
	0.4			
	0.42			
	0.39			
	0.43			
	0.44			
	0.42			
	0.49			
	0.42			
	0.39			
	0.42			
	0.41			
	0.42			
	0.46			
	0.45			
	0.44			
	0.41			
	0.44			
	0.42			
	0.46			
	0.41			
	0.46			
	0.47			
	0.37			
	0.4			
	0.36			
	0.38			
	0.36			
	0.4			
	0.38			
	0.43			
	0.43			
	0.43			
	0.46			
	0.4			
	0.37			
	0.39			
	0.35			
	0.4			
	0.44			
	0.42			
	0.38			
	0.4			
	0.43			
	0.39			
	0.42			
	0.39			
	0.4			
	0.38			
	0.41			
	0.44			
	0.4			
	0.38			
	0.37			
	0.41			
	0.43			
	0.39			
	0.39			
	0.37			
	0.43			
	0.46			
	0.38			
	0.43			
	0.36			
	0.37			
	0.37			
	0.43			
	0.47			
	0.43			
	0.43			
	0.41			
	0.39			
	0.44			
	0.41			
	0.45			
	0.4			
	0.36			
	0.44			
	0.43			
	0.39			
	0.37			
	0.38			
	0.39			
	0.38			
	0.41			
	0.43			
	0.37			
	0.42			
	0.41			
	0.45			
	0.51			
	0.43			
	0.42			
	0.43			
	0.44			
	0.44			
	0.38			
	0.4			
	0.46			
	0.35			
	0.41			
	0.5			
	0.42			
	0.42			
	0.43			
	0.4			
	0.41			
	0.4			
	0.37			
	0.35			
	0.37			
	0.4			
	0.43			
	0.41			
	0.42			
	0.44			
	0.39			
	0.4			
	0.46			
	0.4			
	0.39			
	0.41			
	0.43			
	0.36			
	0.43			
	0.39			
	0.48			
	0.38			
	0.44			
	0.34			
	0.38			
	0.41			
	0.41			
	0.4			
	0.41			
	0.41			
	0.41			
	0.44			
	0.41			
	0.41			
	0.41			
	0.41			
	0.42			
	0.39			
	0.44			
	0.42			
	0.41			
	0.41			
	0.4			
	0.39			
	0.43			
	0.45			
	0.37			
	0.47			
	0.4			
	0.43			
	0.41			
	0.42			
	0.44			
	0.43			
	0.4			
	0.37			
	0.38			
	0.48			
	0.38			
	0.42			
	0.37			
	0.42			
